D_max,x,y,dist_media,dist_max
5.680209111340987,5.496199567173853,5.029188208462416,3.3910838394335556,5.680209111328931
5.7119226164994075,5.448545499553507,5.0263850297412755,3.384698199600545,5.711922616502502
5.743636121657828,5.401221038735943,5.023601237152214,3.3788698171174687,5.7436361214880245
5.775349626816249,5.354214170469158,5.02083612793794,3.373590945789938,5.775349626825176
5.80706313197467,5.3075135397672435,5.018089035786099,3.3688539997143807,5.80706313197467
5.8387766371330905,5.261108384364416,5.015359312699683,3.3646514871299593,5.838776636219228
5.87049014229151,5.214988505643218,5.0126463841176,3.3609759522233786,5.87049014229151
5.902203647449931,5.169144241212592,5.009949662096673,3.3578199277484275,5.902203647449932
5.933917152608352,5.123566408313547,5.007268619842951,3.3551758869412254,5.933917152608353
5.965630657766773,5.078246254358132,5.004602720757067,3.3530362095957265,5.965630657330437
5.997344162925193,5.047830509175459,5.018248851620141,3.3513505057223463,5.997344162925406
6.029057668083614,5.0317536932529325,5.047753859552208,3.349863945047564,6.029057668100266
6.060771173242035,5.015652523866571,5.0772018502519725,3.348534887891504,6.060771173242095
6.092484678400456,4.999524125526335,5.106590612704178,3.347362722832431,6.092484678443563
6.124198183558876,4.983364335764736,5.135916545109951,3.3463469989566157,6.124198183562984
6.155911688717296,4.967171403771745,5.165178704029776,3.345487417756618,6.1559116887174214
6.187625193875717,4.950941396648395,5.19437377485625,3.344783825728753,6.187625193879241
6.219338699034138,4.934671224005474,5.223499380932296,3.344236207546634,6.219338699062719
6.2510522041925585,4.918358017991391,5.252553398634386,3.3438446797744374,6.251052204192558
6.282765709350979,4.901998425192893,5.281533192291751,3.3436094850401346,6.2827657093532165
6.3144792145094,4.885589832231718,5.31043680739854,3.3435309866197103,6.314479128715165
