mese,ENE,FIN,TEC,IND,SAN,CON,UTL,MAT
1,-0.06384521434357796,0.0056459504796090125,0.04255702791112471,0.042280657712442896,0.033885856068628706,0.04366589813178813,0.0018082043382599547,-0.005142990210187912
2,0.011426072639265268,-0.04764101470243138,-0.12873054154461389,-0.07356426561188992,-0.04327323481109875,-0.0043522622661854755,-0.00719459609928897,0.007549788781965265
3,0.016096405388388562,0.05306521241841309,0.09835668202421925,0.02205859693108314,0.03561273223865795,0.005211892211914676,0.007761906476655633,0.018414676583971463
4,-0.015013574031723577,0.07977918103900725,0.03168815046301473,0.041586196489466654,0.04032425881139276,0.0493310698866687,0.03099227487559939,0.04339458901786557
5,-0.08771310369871374,-0.08295660268360151,-0.20537609111472188,-0.1180040638331411,-0.07450272733236264,-0.08216595758169262,-0.014802341440018315,-0.1264722212450648
6,-0.06047537204950207,0.02240838881599813,-0.07813623541790485,-0.007908993334831003,-0.049204300044404986,-0.03628467405084529,-0.03271428752761741,-0.0652335238422511
7,0.055503929061476935,-0.07898588493146769,0.05228794288115916,0.02215050487081277,-0.008989850204390838,-0.039665826948245254,0.007749022465286052,-0.01660026561080216
8,0.008025137429173948,-0.002987169947843633,0.1106884529610927,-0.012476049164279683,-0.031196019217871174,0.00478652130451743,0.004489204053291819,0.07806906563599574
9,0.04967538439848048,0.029063455586777875,0.11671580828306084,-0.039971896018897474,-0.013395370290082495,-0.025533923692646798,-0.0035147456015087357,-0.07350681746855865
10,0.007482022795804049,-0.04083574704503043,-0.13257458014613235,-0.062313034046710306,-0.002358507055539324,0.012815866570909763,0.032508669514472274,0.1488039030023494
11,0.0631439603626854,-0.004211988745493826,-0.08790817930422648,0.0496540542806191,0.00022912461280962318,0.01745230585653688,0.004586302333550108,0.03828726175925569
12,0.09181066772006337,0.054227204271511106,0.044896304683978275,-0.006036765706352608,-0.027756857697122793,0.01212406404111064,0.014330102746305534,0.1485430561028088
13,0.017622574596417778,0.0672550698453035,-0.016317413609110137,-0.036920009575371754,-0.02141685821818562,-0.01616738606037065,0.04801049108122698,-0.03670991145589209
14,0.0938899133217532,0.011828480122259052,0.1395569409336855,0.06301814755478236,0.025122928416585984,0.037502732047031404,0.007202289655631322,0.08390846278158222
15,0.0038166023263314225,-0.035936641934730576,-0.049744723067474295,0.03143301035437304,0.063340433879606,0.026056634724794286,0.008689030935997655,0.04658496075073849
16,0.04078399393100323,-0.016831769486175242,-0.058711093793064946,0.022342978868148882,0.0009675514333003996,0.03705793742579572,-0.0038487390692605477,-0.09975842534432602
17,-0.04564438810844038,0.11777919694847243,0.15518268328582865,0.0138921755782501,0.002398146831652844,0.06884223884945372,-0.012461735997048107,-0.028396088205884632
18,0.0038160262692024244,-0.05513244009499689,-0.03553320054726078,-0.031931940303328805,-0.003859298153440974,0.029779818989434784,-0.007095991606904409,0.008163258361793515
19,-0.06012160178455447,0.047489976603324414,0.0022591885647974957,-0.009840095204523919,-0.001747114680409799,0.020268954678741877,0.035133021732088744,-0.032888650409468395
20,0.008176093723416803,-0.018700947783221324,-0.01039156026544887,0.04652957279433198,0.02124501897940647,0.052777674919547615,0.0007275903278611169,-0.034053444961664806
21,-0.009743475173850843,0.015126085978607831,0.01782152767230026,-0.041679038946752116,0.004982583814385754,0.010178512042261051,0.05227807432771143,0.11464645740799927
22,-0.060311288320826086,-0.03658837915558402,-0.1230230745431305,-0.03929414794601074,0.0013186296752274434,0.030505516154444485,-0.019598023709860683,-0.058047827269033334
23,-0.05172994328131591,0.056879005279698455,0.004981078116883836,0.029778036425614773,0.005517544767126993,0.038298634750700014,-0.013522322419029533,-0.026875978499150167
24,0.1090796372084327,-0.0676393334042022,-0.06972112163377023,0.07623467592711115,0.09005689595376737,-0.03796499084014676,-0.005011725218057175,0.02380309480954088
25,0.07851092773366666,-0.06356605522197445,-0.024489993212844147,0.024268695933427675,0.010198097968573305,-0.01779197484695381,-0.004156382133937658,-0.09068351703304942
26,-0.016899162225863434,-0.02047338849770698,0.01293154753987253,-0.02637109635318201,0.012901351116101347,0.03295198087669024,0.002695383513200773,0.016115775383446565
27,0.03171833768936396,0.034424709562705144,-0.007396163439781854,0.039457258627966195,0.014409894944215636,0.09553221467473126,0.0434360933139184,0.05530777894663069
28,-0.015516597340054696,-0.03435492603052242,0.11773248676200135,0.03146717792529495,0.028228627453393967,-0.043461409075235886,0.028181653198927376,0.052413870996153064
29,-0.031064662007611682,0.003045469417870282,0.05529533308041243,0.024710980006776004,0.006052249269409107,0.01530109040904571,0.005255375664872797,0.03628852041317963
30,0.09872787393212801,-0.1113638586143627,0.021205250808902613,0.030305898626840442,0.024077060753778523,0.0064126444046422384,-0.024586274940794628,0.04757421114917766
31,0.1773876100083887,0.02328258856921843,0.18807112667123907,0.06998332377221707,0.04928486924341426,0.030481351616401378,0.027810609631735598,0.1777518749184969
32,0.022052450635244317,0.08698525505204692,0.07624871053491292,0.011505608250388166,0.04993332044095683,0.011351806763737884,0.015386619973223227,-0.02506368790023636
