prezzo_titolo2,valore_lp
15.0,-1.0
15.05,-0.9999999999999982
15.1,-0.9999999999999982
15.15,-0.9999999999999991
15.2,-1.0
15.25,-1.0
15.3,-0.9999999999999982
15.35,-0.9999999999999982
15.4,-1.0
15.45,-0.9999999999999991
15.5,-1.0000000000000018
15.55,-1.0000000000000027
15.6,-0.9999999999999991
15.65,-1.0000000000000027
15.7,-1.0
15.75,-1.0000000000000018
15.8,-0.9999999999999973
15.85,-1.0
15.9,-1.0000000000000009
15.95,-0.9999999999999991
16.0,-1.0
16.05,-0.9999999999999982
16.1,-0.9999999999999973
16.15,-1.0000000000000018
16.2,-0.9999999999999991
16.25,-1.0
16.3,-0.9999999999999991
16.35,-0.9999999999999982
16.4,-0.9999999999999991
16.45,-1.0000000000000027
16.5,-1.0000000000000044
16.55,-1.0000000000000009
16.6,-1.0000000000000009
16.65,-0.9999999999999982
16.7,-0.9999999999999982
16.75,-1.0
16.8,-1.0000000000000018
16.85,-1.0000000000000036
16.9,-0.9999999999999964
16.95,-1.0
17.0,-1.0000000000000036
17.05,-1.0000000000000018
17.1,-1.0
17.15,-0.9999999999999964
17.2,-0.9999999999999982
17.25,-0.9999999999999964
17.3,-0.9999999999999982
17.35,-0.9999999999999982
17.4,-0.9999999999999982
17.45,-1.0
17.5,-0.9999999999999947
17.55,-1.0000000000000053
17.6,-0.9999999999999929
17.65,-1.0000000000000036
17.7,-1.0
17.75,-1.0000000000000036
17.8,-1.0
17.85,-1.0
17.9,-0.9999999999999964
17.95,-1.0
18.0,-0.9999999999999964
18.05,-1.0000000000000036
18.1,-0.9999999999999929
18.15,-0.9999999999999929
18.2,-1.0
18.25,-0.9999999999999858
18.3,-1.0
18.35,-0.9999999999999929
18.4,-1.000000000000007
18.45,-1.0
18.5,-1.0
18.55,-1.0
18.6,-0.9999999999998863
18.65,-0.9999999999999432
18.7,0.0
18.75,0.0
18.8,0.0
18.85,0.0
18.9,0.0
18.95,0.0
19.0,0.0
19.05,0.0
19.1,0.0
19.15,0.0
19.2,0.0
19.25,0.0
19.3,0.0
19.35,0.0
19.4,0.0
19.45,0.0
19.5,0.0
19.55,0.0
19.6,0.0
19.65,0.0
19.7,0.0
19.75,0.0
19.8,0.0
19.85,0.0
19.9,0.0
19.95,0.0
20.0,0.0
20.05,0.0
20.1,0.0
20.15,0.0
20.2,0.0
20.25,0.0
20.3,0.0
20.35,0.0
20.4,0.0
20.45,0.0
20.5,0.0
20.55,0.0
20.6,0.0
20.65,0.0
20.7,0.0
20.75,0.0
20.8,0.0
20.85,0.0
20.9,0.0
20.95,0.0
21.0,0.0
21.05,0.0
21.1,0.0
21.15,0.0
21.2,0.0
21.25,0.0
21.3,0.0
21.35,0.0
21.4,0.0
21.45,0.0
21.5,0.0
21.55,-0.9999999999995453
21.6,-1.0
21.65,-0.9999999999999716
21.7,-1.0000000000000284
21.75,-1.0000000000000142
21.8,-1.0
21.85,-1.0000000000000142
21.9,-0.9999999999999858
21.95,-1.000000000000007
22.0,-1.0
22.05,-1.0
22.1,-1.000000000000007
22.15,-0.9999999999999929
22.2,-0.9999999999999929
22.25,-0.9999999999999964
22.3,-1.0
22.35,-0.9999999999999964
22.4,-1.000000000000007
22.45,-0.9999999999999858
22.5,-1.0000000000000107
22.55,-1.0000000000000107
22.6,-1.0
22.65,-0.9999999999999929
22.7,-1.0
22.75,-0.9999999999999929
22.8,-0.9999999999999929
22.85,-0.9999999999999893
22.9,-1.0
22.95,-1.0
23.0,-0.9999999999999982
23.05,-1.0
23.1,-0.9999999999999982
23.15,-0.9999999999999947
23.200000000000003,-0.9999999999999982
23.25,-0.9999999999999964
23.3,-0.9999999999999947
23.35,-0.9999999999999964
23.4,-0.9999999999999947
23.450000000000003,-1.0
23.5,-1.0
23.55,-0.9999999999999947
23.6,-0.9999999999999982
23.65,-1.0000000000000018
23.700000000000003,-0.9999999999999964
23.75,-0.9999999999999911
23.8,-0.9999999999999982
23.85,-0.9999999999999929
23.9,-0.9999999999999929
23.950000000000003,-0.9999999999999982
24.0,-1.0000000000000036
24.05,-0.9999999999999982
24.1,-0.9999999999999964
24.15,-1.0
24.200000000000003,-0.9999999999999964
24.25,-0.9999999999999947
24.3,-0.9999999999999982
24.35,-0.9999999999999982
24.4,-0.9999999999999982
24.450000000000003,-0.9999999999999982
24.5,-0.9999999999999982
24.55,-0.9999999999999964
24.6,-0.9999999999999964
24.65,-0.9999999999999982
24.700000000000003,-0.9999999999999973
24.75,-0.9999999999999973
24.8,-0.9999999999999973
24.85,-0.9999999999999982
24.9,-0.9999999999999956
24.950000000000003,-0.9999999999999956
25.0,-1.0
