scenario,domanda
1,106.09434159508862
2,79.20031787519008
3,115.00902391612914
4,118.81129432782427
5,60.979296226923275
6,73.95640986275365
7,102.55680806334571
8,93.67514815312836
9,99.66397684991422
10,82.9391214485284
11,117.58795949725658
12,115.55583870857896
13,101.32061395122432
14,122.54482413936066
15,109.35018684504091
16,82.81415074233524
17,107.37501568164998
18,80.82234798342003
19,117.56900602614544
20,99.00148178027494
21,96.30275272909479
22,86.38140911192117
23,124.4508267734806
24,96.90941035862396
25,91.43344355673786
26,92.95732899023541
27,110.64618371106698
28,107.30888128728157
29,108.25465223191976
30,108.61642006015765
31,142.83295201740924
32,91.87169967230768
33,89.75514541856926
34,83.72454543504244
35,112.31958845150992
36,122.57944585441783
37,97.7210508469025
38,83.19687046074944
39,83.51037568617521
40,113.01185575649401
41,114.86508342406884
42,110.8630853661039
43,86.68980585422611
44,104.6432264613344
45,102.33371618281457
46,104.37377193458026
47,117.4285755589638
48,104.47191097549364
49,113.57827126143789
50,101.35158138977783
51,105.78238797379969
52,112.6257645167708
53,70.85688360288667
54,93.60657567285398
55,90.5925469141441
56,87.22244303513315
57,94.49715497546633
58,129.89882622468792
59,82.68337768613513
60,119.36556709182962
61,66.3426045676839
62,93.3022994002845
63,103.25506130210012
64,111.72444662718556
65,114.2245315958571
66,115.8669447039985
67,93.02549855503125
68,90.75296414670865
69,117.15951762514308
70,96.1739135023677
71,74.48627353324156
72,77.33425571993038
73,81.61095427996777
74,109.94321488107528
75,102.8485147214113
76,113.80970708135537
77,91.45494707326931
78,103.17079382153429
79,112.51180787934673
80,93.81306920559523
81,109.13550475114823
82,86.76148117866697
83,92.73892306869857
84,92.36524212003341
85,76.08320708821921
86,109.73944961571164
87,90.61195319594552
88,100.24988237455375
89,109.61493317811818
90,108.93062352059889
91,113.30770217945573
92,98.03029030981153
93,91.53403375911692
94,98.40563578187202
95,66.2533113208394
96,71.05775055153825
97,73.54600775291195
98,80.05506344797037
99,107.99548453446873
100,81.89041889279878
101,92.4367489192122
102,125.98456595572131
103,92.87472057877149
104,114.75031136934173
105,81.32764639980246
106,95.8912488426474
107,80.99955890178838
108,93.21933848198876
109,116.80616274914792
110,65.45359153615303
111,108.68847287091715
112,104.75471204664555
113,88.11700088606412
114,71.07884291223091
115,101.4425901542774
116,89.41014581872395
117,104.65352422709408
118,100.43704291046886
119,132.03557782641832
120,95.21288745053951
121,79.5300501475627
122,103.58551269912633
123,104.3999336794353
124,127.18375150480873
125,116.70222491829156
126,107.13742118299018
127,129.26605782439123
128,76.22473891354298
129,87.20496934500504
130,81.4684811718895
131,92.20380393688464
132,72.46627704887382
133,112.70301893628809
134,95.55554605802453
135,70.58387410994683
136,79.68841837584917
137,106.2702769490039
138,116.76253135788762
139,139.93461783383572
140,158.2772493201466
141,108.28818866551993
142,80.20923759936272
143,57.359074385373816
144,105.35422924687671
