volatilita,rendimento
0.060257533318309034,0.1106925994845066
0.06035921735012175,0.11403356604162992
0.060663328697187276,0.11742906966931346
0.06116686145880218,0.12082456954420819
0.06189533475171171,0.12422007072739077
0.0632995903415658,0.1276155725487882
0.0655716398347523,0.13101107468887047
0.06863236511908292,0.13440657628042763
0.0721112698727206,0.13780207817830906
0.07594969047459683,0.14119758001365373
0.08009595695657246,0.14459308187720757
0.08450477011662798,0.14798858384612948
0.08913717506246256,0.15138408565036277
0.09396011112151689,0.15477958748926762
0.09894572057937275,0.1581750893629234
0.10407062663647886,0.1615705912356657
0.10931523966880134,0.1649660931032711
0.1146631349435783,0.16836159496827652
0.12010051616364689,0.171757096830648
0.1256157634905756,0.17515259869454264
0.13119905757883374,0.17854810055717402
0.13684206937380533,0.1819436024217714
0.14253771047272962,0.18533910489399164
0.14827990492179052,0.18873460619576055
0.15406345793912485,0.19213010802486485
0.15989489717732974,0.19552560987275486
0.1658651578432633,0.19892111172109833
0.1795032078194537,0.20231661371044188
0.20441384910577232,0.20571211546200488
0.2370698560663606,0.20910761732691252
