alpha,x,y,dist_media,dist_max
0.0,5.4963503741007464,5.029197090506893,3.3911048652735922,5.680109111911649
0.05,5.496350368336131,5.029197083476749,3.39110486470551,5.680109111644138
0.1,5.496350373247383,5.029197089877073,3.39110486517502,5.680109111880708
0.15000000000000002,5.496350373247383,5.029197089877073,3.39110486517502,5.680109111880708
0.2,5.496350373247383,5.029197089877073,3.39110486517502,5.680109111880708
0.25,5.496350365565364,5.029197082323058,3.3911048643540553,5.680109111936956
0.30000000000000004,5.49635038152799,5.029197098351516,3.391104866048265,5.680109112997605
0.35000000000000003,5.496350368506965,5.0291970852587164,3.3911048646669,5.6801091119459715
0.4,5.496350378029942,5.029197095169795,3.391104865665342,5.680109112264104
0.45,5.49635036916588,5.029197085263691,3.391104864759972,5.680109111485061
0.5,5.49635036752729,5.029197085419334,3.391104864522604,5.680109112750434
0.55,5.496350367638619,5.029197083913713,3.3911048645914064,5.680109111603948
0.6000000000000001,5.496350371151355,5.029197093208355,3.3911048647610302,5.680109115721154
0.65,5.496350371183036,5.029197087307016,3.3911048649734363,5.680109111557271
0.7000000000000001,5.496350368901039,5.029197086986184,3.3911048646618043,5.680109112893589
0.75,5.49635035800171,5.02919708133412,3.3911048633185317,5.680109116566725
0.8,5.496350352470628,5.029197082226007,3.391104862504379,5.680109121097995
0.8500000000000001,5.4050093300005315,5.023824078235332,3.3793174455547437,5.741089513321415
0.9,5.224644191636093,5.013214364213897,3.3617039877295234,5.863834651594786
0.9500000000000001,5.058094951308181,5.0034173500786014,3.3522418005238137,5.9797885364370735
1.0,4.885589737590554,5.31043683176562,3.343530986619708,6.3144792145094
