D_max,x,y,mean_dist,max_dist
5.68020954723481,5.496196390971484,5.029189059115085,3.39108336009467,5.68021195148231
5.711915885354105,5.448555625312527,5.026385641653793,3.3846995009709353,5.711915865670869
5.743622223473401,5.401240252635017,5.023602374176614,3.3788720788819417,5.743623205964954
5.775328561592696,5.354246415589806,5.020837252705817,3.3735944182353585,5.775328398886746
5.807034899711992,5.307555028124242,5.018091530670126,3.368857980556333,5.8070349052721655
5.838741237831287,5.261156404205865,5.0153633155489326,3.364655534675822,5.838744521338562
5.870447575950583,5.2150462229758,5.012654585287856,3.360980074725832,5.870453618934879
5.902153914069878,5.169216634793013,5.009954489800414,3.3578244999071685,5.902153807435389
5.933860252189174,5.123662865143473,5.0072892377813,3.3551804487101755,5.9338599371035095
5.965566590308469,5.078427804899109,5.004707520367673,3.353040552398531,5.965566444201146
5.997272928427764,5.047998816872052,5.018328892946761,3.3513540300289835,5.99727284909261
6.02897926654706,5.031911693555793,5.047811593193499,3.349867425345876,6.028979333865323
6.060685604666355,5.016013290482909,5.0774714669426135,3.3485382808868094,6.0606856357063315
6.0923919427856505,4.999432767765368,5.106351273777128,3.3473659638464546,6.092390843955691
6.124098280904946,4.982238140390542,5.134527834918537,3.346350430153578,6.124091168316983
6.1558046190242415,4.967002977566292,5.164830549005917,3.3454901771421546,6.1558001516720635
6.1875109571435365,4.95084512330304,5.194091371709414,3.3447862115262295,6.187504547588072
6.219217295262832,4.934841773426775,5.223469326183174,3.344238366913558,6.219193097408968
6.250923633382127,4.918475389464927,5.25235907401186,3.3438468400977897,6.250833980459692
6.282629971501423,4.901739926197514,5.280807350444315,3.3436110350542974,6.282460288608605
6.314336309620718,4.886098879302525,5.309443030587291,3.3435310730569983,6.3134287661658774
