x,y
-0.2420168067226891,-1.5913041539191082
-0.18823529411764728,-1.598134319027324
-0.134453781512605,-1.600896766098718
-0.08067226890756318,-1.599612869342008
-0.026890756302520913,-1.5942511476054941
0.01663263673880526,-1.5865546218487396
0.026890756302520913,-1.5848121714187802
0.08067226890756318,-1.5716526714524028
0.134453781512605,-1.5543213434715148
0.1879556356224922,-1.5327731092436976
0.18823529411764728,-1.5326638692358978
0.2420168067226891,-1.5076955865911805
0.29468680980886686,-1.4789915966386555
0.29579831932773093,-1.4784006900369777
0.3495798319327732,-1.4460704091128949
0.38049891337798036,-1.4252100840336135
0.403361344537815,-1.4101007967903858
0.45647620940359623,-1.3714285714285714
0.4571428571428573,-1.3709511495238038
0.5109243697478991,-1.3294223443939897
0.5251615397585526,-1.3176470588235294
0.5647058823529414,-1.2853825864983477
0.5896428523352457,-1.2638655462184873
0.6184873949579832,-1.2392107023471768
0.6510813352069852,-1.2100840336134455
0.6722689075630255,-1.1912433706399144
0.7102366055596423,-1.1563025210084033
0.7260504201680673,-1.1417482202862326
0.7676051238133219,-1.1025210084033614
0.7798319327731091,-1.0909131207615645
0.8234838219269355,-1.0487394957983192
0.833613445378151,-1.0388347184752456
0.8780112471934493,-0.9949579831932773
0.8873949579831937,-0.9855056689220846
0.9311957981204984,-0.9411764705882355
0.9411764705882355,-0.9307988058415689
0.982937113323691,-0.8873949579831932
0.9949579831932773,-0.8744451947625826
1.033044368122966,-0.8336134453781514
1.0487394957983192,-0.8160014102630931
1.0812534555068303,-0.7798319327731091
1.1025210084033619,-0.7547989862738578
1.1272434917702774,-0.7260504201680673
1.1563025210084037,-0.6898649646028652
1.1706517588823002,-0.672268907563025
1.2100840336134455,-0.6197952189301981
1.2110851834879248,-0.6184873949579832
1.2487471083825143,-0.5647058823529414
1.2638655462184873,-0.5406194056312745
1.282905345130414,-0.5109243697478991
1.3132990460134262,-0.4571428571428573
1.3176470588235292,-0.44832344885000097
1.3403782725473223,-0.403361344537815
1.3633797893682635,-0.3495798319327732
1.3714285714285719,-0.32690224530302714
1.3828102921464642,-0.29579831932773093
1.3985486604020583,-0.2420168067226891
1.4104782142059034,-0.18823529411764728
1.4188093826500237,-0.134453781512605
1.4237293842431653,-0.08067226890756318
1.4252100840336137,-0.033133138554175774
1.4254129511892164,-0.026890756302520913
1.4252100840336137,-0.019494245602985377
1.4239834875078545,0.026890756302520913
1.419594918112061,0.08067226890756318
1.4123506355332611,0.134453781512605
1.4023432385637105,0.18823529411764728
1.3896449137433855,0.24201680672268908
1.3743052222302652,0.29579831932773093
1.3714285714285719,0.30454913929819816
1.3568744089824987,0.3495798319327732
1.3370555305375285,0.403361344537815
1.3176470588235292,0.45026294079036466
1.31482697283499,0.4571428571428573
1.2907749236167692,0.5109243697478991
1.2642695056642659,0.5647058823529414
1.2638655462184873,0.5654738407548162
1.2360720999616233,0.6184873949579832
1.2100840336134455,0.6642515422420898
1.2055259985835347,0.6722689075630255
1.1731698909403876,0.7260504201680673
1.1563025210084037,0.7524071670589395
1.1386593897051922,0.7798319327731091
1.1025210084033619,0.8328010374457585
1.1019616909108048,0.833613445378151
1.0633583926862407,0.8873949579831937
1.0487394957983192,0.9067783037766781
1.022453476601342,0.9411764705882355
0.9949579831932773,0.9755656554888481
0.9791823870100081,0.9949579831932773
0.9411764705882355,1.0397936159640169
0.9334254373122032,1.0487394957983192
0.8873949579831937,1.0999092260806418
0.884981005219727,1.1025210084033619
0.833613445378151,1.1562282887493878
0.83354006216033,1.1563025210084037
