cvar,rend
3.7144792466668677,2.0
3.7144792466668677,2.4779631499966626
3.7144792466668677,2.955926299993325
3.7144792466668677,3.4338894499899872
3.7144792466668677,3.91185259998665
3.7526037914864223,4.389815749983312
3.8278314863883702,4.8677788999799745
3.940967988596094,5.3457420499766375
4.1015586883712665,5.823705199973299
4.289075979864771,6.301668349969962
4.504952771665027,6.779631499966624
4.729597912987024,7.257594649963287
4.969663123934599,7.73555779995995
5.2396686262973775,8.213520949956612
5.566811976918406,8.691484099953275
5.900047017428296,9.169447249949936
6.243459709749607,9.6474103999466
6.590779728064724,10.125373549943262
6.943548912685851,10.603336699939923
7.309916891564426,11.081299849936586
7.679187748224078,11.559262999933248
8.0499540128408,12.03722614992991
8.424955508635426,12.515189299926572
8.811106795664958,12.993152449923235
9.984705407383293,13.471115599919898
