x1,x2,y,alpha,sv
1.1126184585267778,2.028765836925052,1.0,1.4524996297928362e-12,0
0.9684609603258132,0.5770038836748368,1.0,4.605640168161748e-12,0
1.9764032058913203,1.2911790614641523,1.0,1.0062620930666648e-12,0
1.244222827932692,1.1031613615875888,1.0,1.928455550166569e-12,0
1.7400389092657813,0.16945795372099504,1.0,1.8117972113292806e-12,0
0.6020013197491331,0.6111788810632489,1.0,0.8277959396606078,1
1.1989236278356026,1.0124890624527851,1.0,2.137031204375757e-12,0
1.6911590961582752,1.7994946757589254,1.0,1.0366839971616354e-12,0
1.1266183518703796,0.9128305408661307,1.0,2.5047886986070597e-12,0
1.4661198697727515,1.7977282576768459,1.0,1.2001258097494298e-12,0
2.690529955138725,1.0945036468983251,1.0,7.383257289199549e-13,0
1.5693140982359188,0.8945663533002317,1.0,1.5362966436040665e-12,0
3.1421164486503033,1.9247579648558264,1.0,5.433840931248407e-13,0
2.315671806962214,1.0558153663991294,1.0,8.874441563816298e-13,0
2.569685237601381,2.1253166271268,1.0,6.401289835764588e-13,0
1.0892124285085636,0.8638130536766262,1.0,2.7444430906365523e-12,0
1.9577468320310871,1.9353371649518563,1.0,8.651335192556705e-13,0
1.2305466164681722,0.917477662463376,1.0,2.170314774786079e-12,0
0.8850019067848071,1.6363206471101908,1.0,2.217151119444554e-12,0
2.0143305736070256,1.112283753536232,1.0,1.0335642587626307e-12,0
1.2865738625251655,1.3525160967930319,1.0,1.6396206327852787e-12,0
1.3160363967073434,0.26945717453562534,1.0,2.994802434722264e-12,0
2.3219743022345853,1.316253070096922,1.0,8.32755915429571e-13,0
2.69795302451869,2.2824886370022863,1.0,5.956468524627259e-13,0
1.5052267753797215,0.7992015976687404,1.0,1.7006294198932925e-12,0
0.40708190340235983,1.1326028269419703,1.0,6.351083571351898e-11,0
1.0497767517446617,1.2929556106487423,1.0,2.1920958146152175e-12,0
1.4264460073202045,0.3148726093189129,1.0,2.436645445979483e-12,0
0.9898833376859191,1.3947097507327253,1.0,2.230535267914191e-12,0
