rend,ENE,FIN,TEC,IND,SAN,CON,UTL,MAT
11.06925994845066,5.169758696831781,0.8604808446016958,5.616075493987431e-07,1.876943872724433,11.455672173932516,22.358475083274364,58.278668338964145,4.2934043640607797e-07
11.403356604162992,6.054352059110235,0.5668186157449359,1.1039496810322324e-08,2.510209236884811,8.411123150329168,23.28102881266105,59.17646810912169,5.1136059994975e-09
11.742906966931347,6.954862030384537,0.27337483099189186,4.900572131091327e-07,3.1522661883102794,5.316368129232624,24.218220552204855,60.08490727879317,5.000087737018591e-07
12.082456954420818,7.864365971537649,0.010446303005219901,1.8887400146937182e-07,3.78487172650462,2.21853918535968,25.15285862931763,60.96891776730637,2.2810513192179903e-07
12.422007072739078,9.735481611518871,0.00018874724229260868,1.4265961822380206e-08,3.4321856636340837,1.6961854926823361e-06,25.869954698794544,60.96218754783321,2.044553228731992e-08
12.76155725487882,13.785822419575917,4.2131889210262314e-07,4.1814724928824975e-10,0.8512294047731126,1.4658664198889409e-09,26.10442196921396,59.25852572648467,5.725057865852274e-08
13.101107468887047,18.214436946195786,1.7399149047226025e-06,1.6891707581826759e-07,2.452252025242534e-06,4.1366860239258006e-07,25.285432779487056,56.497477226070046,0.0026482728005640613
13.440657628042763,20.44271894985197,6.071326824053201e-09,6.64030443834261e-10,7.865894800399983e-09,1.3431821634518677e-09,24.195202252570304,53.43106677237925,1.9310120092078478
13.780207817830906,22.48834605334327,8.355854524599849e-08,2.0223093399554813e-08,1.7972271582318185e-07,4.0337285290471845e-08,23.123885410066972,50.38109811833033,4.0066700944042095
14.119758001365373,24.53399183094933,4.84230526567991e-08,1.522344185163873e-09,9.618315313751358e-09,2.6272816183938215e-09,22.052566897097808,47.331128384477424,6.082312825289661
14.459308187720756,26.57962918506464,2.040552109292371e-08,2.6436756467057635e-10,1.0569154474575656e-09,2.9074018327149534e-10,20.981249145456836,44.281159180047524,8.157962467390131
14.798858384612949,28.625219377967177,7.84163268327309e-06,9.270191623398284e-08,5.412864429432211e-07,6.027775879801565e-08,19.909933400937792,41.231185104446084,10.233653580748097
15.138408565036276,30.670877405621322,3.6910121435644496e-06,4.886392249698458e-08,3.8998434459099483e-07,3.844859394722181e-08,18.838614904922014,38.181218736206034,12.309284784948789
15.477958748926762,32.71652578468158,2.0824437923610124e-06,3.8069815640902596e-08,3.2858381450795005e-07,3.7696344012308606e-08,17.767296626476117,35.13125022088699,14.384924881166675
15.81750893629234,34.76216852438303,1.540471208827019e-06,3.119621832141836e-08,2.652851524583763e-07,3.676255932224462e-08,16.695978552967087,32.0812810690475,16.460569979894004
16.15705912356657,36.807808910567786,9.397554887999364e-07,2.3971957180350812e-08,2.079753602381119e-07,3.1350148397384905e-08,15.624660668013144,29.031312275450034,18.536216942912212
16.49660931032711,38.853447001999584,5.515989504004583e-07,1.8498734184405187e-08,1.6183561813658503e-07,2.6760921590059577e-08,14.5533429501444,25.981343450562015,20.6118658385996
16.83615949682765,40.89908381615425,4.3081664569627156e-07,1.4375652481551893e-08,1.2749792606253342e-07,2.2483832215551996e-08,13.482025277540954,22.931374441221454,22.68751586990943
17.1757096830648,42.944720296015376,2.9999813679418455e-07,1.0361090570543743e-08,9.81950102195616e-08,1.7436028533336592e-08,12.410707647636217,19.881405465547232,24.7631661648109
17.515259869454265,44.99035676740932,2.5568233453446045e-07,6.609091545586272e-09,7.778716054969932e-08,1.2361409682879407e-08,11.339390159087166,16.831436203110666,26.83881651795319
17.8548100557174,47.035993313431476,4.1846707432387754e-07,1.8083060823758967e-08,1.197002078882499e-07,1.69895838364171e-08,10.268074576502306,13.781464443091027,28.914467093734647
18.19436024217714,49.08162963822065,4.921370009319017e-07,2.079051428135372e-08,1.49485134863576e-07,2.1906062682917267e-08,9.196754802693482,10.731497418820245,30.990117455947118
18.53391048939916,51.12727048015036,2.684724553145607e-06,2.5925488468807496e-07,2.1133677922306835e-06,4.884441049355277e-07,8.125484619756177,7.681468342209455,33.06577101209254
18.873460619576054,53.17290327363121,3.077074263396408e-07,4.54969271646649e-08,2.6092249806462395e-07,6.769208529148245e-08,7.05413106953465,4.6315463051774985,35.141418669838984
19.213010802486487,55.218538612183934,1.277285851862908e-07,1.943289616888956e-08,9.791070645546997e-08,2.8680597565925646e-08,5.982799643542051,1.5815928712187306,37.21706859930337
19.552560987275484,57.08914229380155,9.12524718240605e-08,6.996850451952116e-09,3.8511269736383594e-08,1.0140815893613038e-08,3.5865716049734675,0.00021303520975119892,39.324072919085204
19.892111172109832,57.507204295109204,4.846310410063263e-08,7.932780105772794e-10,2.6083714647348588e-08,3.2627522016672367e-09,6.386244165534087e-07,4.089751950311968e-07,42.492794582222324
20.231661371044186,38.724096736943814,1.8538637378366003e-07,2.4836737620864905e-08,2.1780982505986343e-07,7.629491894646657e-08,3.0085115394781134e-07,2.569413310519834e-07,61.275902200933466
20.571211546200487,19.940997526129028,2.0461093475890116e-09,9.837359338134602e-10,2.59720580716432e-09,1.047832640990995e-09,3.738932581325855e-09,4.472656418635538e-09,80.05900245898403
20.910761732691252,1.1578912335294242,3.3816900366125067e-09,2.1045299958115085e-09,3.909404763280654e-09,2.3015666849823397e-09,2.5935482962859358e-09,2.420870060604242e-10,98.84210875191478
