p,senza,con
20.0,0.0,0.0
20.551378446115287,604.9961997726128,220.55137844611465
21.102756892230577,1206.9522176368243,441.10275689223073
21.654135338345863,1805.868053592627,661.6541353383454
22.205513784461154,2401.743707640028,882.2055137844615
22.75689223057644,2994.5791797790207,1102.756892230576
23.30827067669173,3584.3744700096113,1323.3082706766922
23.859649122807017,4171.129578331794,1543.8596491228068
24.411027568922307,4754.844504745574,1764.411027568923
24.962406015037594,5335.519249250947,1984.9624060150377
25.51378446115288,5913.153811847914,2205.513784461152
26.06516290726817,6487.748192536479,2426.065162907268
26.616541353383457,7059.302391316636,2646.616541353383
27.167919799498748,7627.8164081883915,2867.167919799499
27.719298245614034,8193.290243151738,3087.7192982456136
28.27067669172932,8755.72389620668,3308.270676691728
28.82205513784461,9315.11736735322,3528.8220551378445
29.3734335839599,9871.470656591353,3749.3734335839604
29.924812030075188,10424.783763921081,3969.9248120300754
30.476190476190474,10975.056689342402,4190.47619047619
31.027568922305765,11522.289432855321,4411.027568922306
31.57894736842105,12066.481994459833,4631.578947368421
32.13032581453634,12607.634374155941,4852.130325814536
32.68170426065163,13145.746571943642,5072.681704260651
33.233082706766915,13680.81858782294,5293.233082706766
33.7844611528822,14212.850421793828,5513.784461152881
34.335839598997495,14741.84207385632,5734.335839598998
34.88721804511278,15267.793544010401,5954.887218045113
35.43859649122807,15790.704832256079,6175.438596491227
35.989974937343355,16310.575938593347,6395.989974937342
36.54135338345864,16827.406863022214,6616.541353383456
37.092731829573935,17341.19760554268,6837.092731829574
37.64411027568922,17851.948166154736,7057.644110275689
38.19548872180451,18359.658544858383,7278.1954887218035
38.7468671679198,18864.328741653637,7498.746867167921
39.29824561403508,19365.95875654047,7719.298245614033
39.849624060150376,19864.54858951891,7939.849624060151
40.40100250626566,20360.09824058894,8160.401002506265
40.95238095238095,20852.607709750562,8380.95238095238
41.50375939849624,21342.07699700379,8601.503759398496
42.05513784461153,21828.506102348605,8822.055137844613
42.606516290726816,22311.895025785012,9042.606516290727
43.1578947368421,22792.243767313015,9263.157894736842
43.70927318295739,23269.552326932615,9483.709273182956
44.26065162907268,23743.820704643815,9704.260651629073
44.81203007518797,24215.048900446604,9924.812030075187
45.363408521303256,24683.23691434099,10145.363408521302
45.91478696741855,25148.384746326974,10365.91478696742
46.46616541353383,25610.49239640454,10586.466165413533
47.01754385964912,26069.559864573715,10807.017543859649
47.56892230576441,26525.58715083448,11027.568922305763
48.1203007518797,26978.574255186835,11248.120300751878
48.67167919799499,27428.521177630795,11468.671679197996
49.22305764411027,27875.42791816634,11689.223057644107
49.774436090225564,28319.294476793486,11909.774436090225
50.32581453634085,28760.120853512228,12130.32581453634
50.87719298245614,29197.90704832256,12350.877192982454
51.42857142857143,29632.653061224493,12571.428571428572
51.97994987468671,30064.35889221801,12791.979949874683
52.531328320802004,30493.024541303133,13012.531328320802
53.08270676691729,30918.650008479843,13233.082706766916
53.63408521303258,31341.235293748152,13453.63408521303
54.18546365914787,31760.780397108058,13674.185463659149
54.73684210526316,32177.285318559556,13894.736842105263
55.288220551378444,32590.75005810265,14115.288220551378
55.83959899749373,33001.174615737335,14335.839598997492
56.39097744360902,33408.558991463615,14556.390977443607
56.94235588972431,33812.9031852815,14776.942355889725
57.4937343358396,34214.20719719097,14997.49373433584
58.045112781954884,34612.471027192034,15218.045112781954
58.59649122807017,35007.6946752847,15438.596491228069
59.147869674185465,35399.878141468966,15659.147869674185
59.69924812030075,35789.02142574481,15879.699248120301
60.25062656641604,36175.12452811226,16100.250626566416
60.802005012531325,36558.1874485713,16320.80200501253
61.35338345864661,36938.210187121935,16541.353383458645
61.904761904761905,37315.19274376417,16761.904761904763
62.45614035087719,37689.135118498,16982.456140350878
63.00751879699248,38060.03731132342,17203.007518796992
63.558897243107765,38427.89932224043,17423.558897243107
64.11027568922306,38792.721151249054,17644.110275689225
64.66165413533835,39154.50279834926,17864.66165413534
65.21303258145363,39513.244263541055,18085.213032581454
65.76441102756891,39868.94554682445,18305.764411027565
66.3157894736842,40221.60664819944,18526.315789473683
66.8671679197995,40571.227567666036,18746.8671679198
67.41854636591478,40917.80830522421,18967.418546365912
67.96992481203007,41261.34886087399,19187.96992481203
68.52130325814537,41601.84923461536,19408.521303258145
