centro,freq
-13.006961159945472,1
-12.230482145425416,0
-11.45400313090536,0
-10.677524116385305,1
-9.901045101865249,1
-9.124566087345194,0
-8.348087072825138,0
-7.571608058305081,4
-6.795129043785025,3
-6.018650029264968,7
-5.242171014744914,9
-4.465692000224857,7
-3.689212985704801,15
-2.9127339711847453,12
-2.13625495666469,16
-1.3597759421446334,18
-0.583296927624577,21
0.19318208689547944,30
0.969661101415535,18
1.7461401159355905,13
2.522619130455646,13
3.2990981449757015,16
4.075577159495758,3
4.852056174015814,3
5.628535188535871,5
6.405014203055927,0
7.181493217575984,1
7.957972232096038,1
8.734451246616093,1
9.51093026113615,1
